"Test Case ID","Module","Test Case Name","Description","Test Steps","Expected Result"
"L-POS-01","Login - Positive","Verify Username Field UI","Verify the existence and attributes of the username field","1. Load login page\n2. Inspect Username element","Visible, enabled, and of type 'text' or 'input'"
"L-POS-02","Login - Positive","Verify Password Field UI","Verify the existence and attributes of the password field","1. Load login page\n2. Inspect Password element","Visible, enabled, and of type 'password'"
"L-POS-03","Login - Positive","Verify Login Button UI","Verify the existence and attributes of the submit button","1. Load login page\n2. Inspect Login button","Visible, enabled, and of type 'submit'"
"L-POS-04","Login - Positive","Verify Forgot Password Link UI","Verify the existence and text of the forgot password link","1. Load login page\n2. Inspect Forgot Password link","Visible, with text 'Forgot your password?'"
"L-POS-05","Login - Positive","Verify Page Title/Heading","Verify the login header banner text","1. Load login page\n2. Locate main heading","Heading contains text 'Login'"
"L-POS-06","Login - Positive","Valid Login","Verify authentication works with correct credentials","1. Enter valid username (Admin)\n2. Enter valid password (admin123)\n3. Click Login","Redirects successfully to Dashboard (URL contains '/dashboard')"
"L-POS-07","Login - Positive","Forgot Password Navigation","Verify Forgot Password page navigation","1. Click 'Forgot your password?' link","Redirects successfully to Reset Password page (URL contains '/requestPasswordResetCode')"
"L-NEG-01","Login - Negative","Invalid Username + Valid Password","Verify system behavior for invalid username","1. Enter invalid username\n2. Enter valid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; remains on login page"
"L-NEG-02","Login - Negative","Valid Username + Invalid Password","Verify system behavior for invalid password","1. Enter valid username\n2. Enter invalid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; remains on login page"
"L-NEG-03","Login - Negative","Both Credentials Invalid","Verify system behavior for both invalid credentials","1. Enter invalid username\n2. Enter invalid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; remains on login page"
"L-NEG-04","Login - Negative","Empty Username + Valid Password","Verify validation when username is missing","1. Leave username empty\n2. Enter valid password\n3. Click Login","Validation message 'Required' is displayed under the username input; remains on login page"
"L-NEG-05","Login - Negative","Valid Username + Empty Password","Verify validation when password is missing","1. Enter valid username\n2. Leave password empty\n3. Click Login","Validation message 'Required' is displayed under the password input; remains on login page"
"L-NEG-06","Login - Negative","Both Fields Empty","Verify validation when both fields are missing","1. Leave both username and password empty\n2. Click Login","Validation message 'Required' is displayed under both inputs; remains on login page"
"L-NEG-07","Login - Negative","SQL Injection in Username","Verify defense against basic SQL Injection in username field","1. Enter SQL injection payload in username\n2. Enter valid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; stays on login page"
"L-NEG-08","Login - Negative","XSS Attempt in Username","Verify defense against XSS script tag injection in username field","1. Enter script tags in username\n2. Enter valid password\n3. Click Login","Login fails; error message 'Invalid credentials' is displayed; script does not execute"
